sym,date,period_start_price,period_end_price,20_period_return,williams_3,williams_5,williams_10,williams_15,williams_20,williams_25,williams_30,williams_50,williams_70,williams_100,williams_120,williams_150,williams_200,rsi_3,rsi_5,rsi_10,rsi_15,rsi_20,rsi_25,rsi_30,rsi_50,rsi_70,rsi_100,rsi_120,rsi_150,rsi_200,adx_3,adx_5,adx_10,adx_15,adx_20,adx_25,adx_30,adx_50,adx_70,adx_100,adx_120,adx_150,adx_200,standardDeviation_3,standardDeviation_5,standardDeviation_10,standardDeviation_15,standardDeviation_20,standardDeviation_25,standardDeviation_30,standardDeviation_50,standardDeviation_70,standardDeviation_100,standardDeviation_120,standardDeviation_150,standardDeviation_200,ema_3_above_sma_3,ema_3_above_tema_3,ema_3_above_dema_3,ema_3_above_wma_3,ema_3_above_ema_5,ema_3_above_sma_5,ema_3_above_tema_5,ema_3_above_dema_5,ema_3_above_wma_5,ema_3_above_ema_10,ema_3_above_sma_10,ema_3_above_tema_10,ema_3_above_dema_10,ema_3_above_wma_10,ema_3_above_ema_15,ema_3_above_sma_15,ema_3_above_tema_15,ema_3_above_dema_15,ema_3_above_wma_15,ema_3_above_ema_20,ema_3_above_sma_20,ema_3_above_tema_20,ema_3_above_dema_20,ema_3_above_wma_20,ema_3_above_ema_25,ema_3_above_sma_25,ema_3_above_tema_25,ema_3_above_dema_25,ema_3_above_wma_25,ema_3_above_ema_30,ema_3_above_sma_30,ema_3_above_tema_30,ema_3_above_dema_30,ema_3_above_wma_30,ema_3_above_ema_50,ema_3_above_sma_50,ema_3_above_tema_50,ema_3_above_dema_50,ema_3_above_wma_50,ema_3_above_ema_70,ema_3_above_sma_70,ema_3_above_tema_70,ema_3_above_dema_70,ema_3_above_wma_70,ema_3_above_ema_100,ema_3_above_sma_100,ema_3_above_tema_100,ema_3_above_dema_100,ema_3_above_wma_100,ema_3_above_ema_120,ema_3_above_sma_120,ema_3_above_tema_120,ema_3_above_dema_120,ema_3_above_wma_120,ema_3_above_ema_150,ema_3_above_sma_150,ema_3_above_tema_150,ema_3_above_dema_150,ema_3_above_wma_150,ema_3_above_ema_200,ema_3_above_sma_200,ema_3_above_tema_200,ema_3_above_dema_200,ema_3_above_wma_200,sma_3_above_tema_3,sma_3_above_dema_3,sma_3_above_wma_3,sma_3_above_ema_5,sma_3_above_sma_5,sma_3_above_tema_5,sma_3_above_dema_5,sma_3_above_wma_5,sma_3_above_ema_10,sma_3_above_sma_10,sma_3_above_tema_10,sma_3_above_dema_10,sma_3_above_wma_10,sma_3_above_ema_15,sma_3_above_sma_15,sma_3_above_tema_15,sma_3_above_dema_15,sma_3_above_wma_15,sma_3_above_ema_20,sma_3_above_sma_20,sma_3_above_tema_20,sma_3_above_dema_20,sma_3_above_wma_20,sma_3_above_ema_25,sma_3_above_sma_25,sma_3_above_tema_25,sma_3_above_dema_25,sma_3_above_wma_25,sma_3_above_ema_30,sma_3_above_sma_30,sma_3_above_tema_30,sma_3_above_dema_30,sma_3_above_wma_30,sma_3_above_ema_50,sma_3_above_sma_50,sma_3_above_tema_50,sma_3_above_dema_50,sma_3_above_wma_50,sma_3_above_ema_70,sma_3_above_sma_70,sma_3_above_tema_70,sma_3_above_dema_70,sma_3_above_wma_70,sma_3_above_ema_100,sma_3_above_sma_100,sma_3_above_tema_100,sma_3_above_dema_100,sma_3_above_wma_100,sma_3_above_ema_120,sma_3_above_sma_120,sma_3_above_tema_120,sma_3_above_dema_120,sma_3_above_wma_120,sma_3_above_ema_150,sma_3_above_sma_150,sma_3_above_tema_150,sma_3_above_dema_150,sma_3_above_wma_150,sma_3_above_ema_200,sma_3_above_sma_200,sma_3_above_tema_200,sma_3_above_dema_200,sma_3_above_wma_200,tema_3_above_dema_3,tema_3_above_wma_3,tema_3_above_ema_5,tema_3_above_sma_5,tema_3_above_tema_5,tema_3_above_dema_5,tema_3_above_wma_5,tema_3_above_ema_10,tema_3_above_sma_10,tema_3_above_tema_10,tema_3_above_dema_10,tema_3_above_wma_10,tema_3_above_ema_15,tema_3_above_sma_15,tema_3_above_tema_15,tema_3_above_dema_15,tema_3_above_wma_15,tema_3_above_ema_20,tema_3_above_sma_20,tema_3_above_tema_20,tema_3_above_dema_20,tema_3_above_wma_20,tema_3_above_ema_25,tema_3_above_sma_25,tema_3_above_tema_25,tema_3_above_dema_25,tema_3_above_wma_25,tema_3_above_ema_30,tema_3_above_sma_30,tema_3_above_tema_30,tema_3_above_dema_30,tema_3_above_wma_30,tema_3_above_ema_50,tema_3_above_sma_50,tema_3_above_tema_50,tema_3_above_dema_50,tema_3_above_wma_50,tema_3_above_ema_70,tema_3_above_sma_70,tema_3_above_tema_70,tema_3_above_dema_70,tema_3_above_wma_70,tema_3_above_ema_100,tema_3_above_sma_100,tema_3_above_tema_100,tema_3_above_dema_100,tema_3_above_wma_100,tema_3_above_ema_120,tema_3_above_sma_120,tema_3_above_tema_120,tema_3_above_dema_120,tema_3_above_wma_120,tema_3_above_ema_150,tema_3_above_sma_150,tema_3_above_tema_150,tema_3_above_dema_150,tema_3_above_wma_150,tema_3_above_ema_200,tema_3_above_sma_200,tema_3_above_tema_200,tema_3_above_dema_200,tema_3_above_wma_200,dema_3_above_wma_3,dema_3_above_ema_5,dema_3_above_sma_5,dema_3_above_tema_5,dema_3_above_dema_5,dema_3_above_wma_5,dema_3_above_ema_10,dema_3_above_sma_10,dema_3_above_tema_10,dema_3_above_dema_10,dema_3_above_wma_10,dema_3_above_ema_15,dema_3_above_sma_15,dema_3_above_tema_15,dema_3_above_dema_15,dema_3_above_wma_15,dema_3_above_ema_20,dema_3_above_sma_20,dema_3_above_tema_20,dema_3_above_dema_20,dema_3_above_wma_20,dema_3_above_ema_25,dema_3_above_sma_25,dema_3_above_tema_25,dema_3_above_dema_25,dema_3_above_wma_25,dema_3_above_ema_30,dema_3_above_sma_30,dema_3_above_tema_30,dema_3_above_dema_30,dema_3_above_wma_30,dema_3_above_ema_50,dema_3_above_sma_50,dema_3_above_tema_50,dema_3_above_dema_50,dema_3_above_wma_50,dema_3_above_ema_70,dema_3_above_sma_70,dema_3_above_tema_70,dema_3_above_dema_70,dema_3_above_wma_70,dema_3_above_ema_100,dema_3_above_sma_100,dema_3_above_tema_100,dema_3_above_dema_100,dema_3_above_wma_100,dema_3_above_ema_120,dema_3_above_sma_120,dema_3_above_tema_120,dema_3_above_dema_120,dema_3_above_wma_120,dema_3_above_ema_150,dema_3_above_sma_150,dema_3_above_tema_150,dema_3_above_dema_150,dema_3_above_wma_150,dema_3_above_ema_200,dema_3_above_sma_200,dema_3_above_tema_200,dema_3_above_dema_200,dema_3_above_wma_200
BUD,2023-11-08,59.32,63.02,0.062373567093728974,-32.17391304347808,-17.01149425287347,-5.327573794096435,-5.047748976807606,-5.047748976807606,-4.607721046077178,-4.607721046077178,-4.607721046077178,-4.607721046077178,-4.607721046077178,-4.607721046077178,-49.27152317880795,-50.35644847699287,95.29249397530955,89.79009450495028,78.43844937279661,71.03776100687038,66.2565194999639,62.96444585185746,60.56803572065547,55.40580734969874,53.314910581841424,51.98725036151552,51.53428337181026,51.13109022102463,51.01498214471942,86.51444836846723,66.66798172854956,33.978291264584776,21.35264868763545,15.933171587526214,12.847957574003692,10.954534658797892,7.606827809638415,6.003115751847076,4.504028496477548,3.8615918723622267,3.192488278035537,2.648710039613186,0.1806162291219199,0.3968374982281784,2.3903156695298637,2.6248242269192468,2.410687868638327,2.307681087152209,2.1753198743071223,2.009425480081309,1.8021724078886299,1.7835525335688884,1.78856483240676,3.6359146084582346,3.6317202521670073,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BUD,2023-11-07,59.06,62.88,0.0646799864544531,-31.57894736842046,-7.305936073059213,-3.661327231121204,-3.4582132564840773,-3.4582132564840773,-3.1413612565444353,-3.1413612565444353,-3.1413612565444353,-3.1413612565444353,-3.1413612565444353,-6.918238993710654,-51.77582274356464,-52.04147764095916,94.0799091614582,88.73435678176158,77.4891551486503,70.19859234730747,65.5182294019475,62.31050540774897,59.98391689241096,55.00697710835076,53.019559018205555,51.779550037841425,51.36252931226383,50.995953394209046,50.9167902364682,83.72712586438615,62.36416165186647,30.86531766201876,19.54377653610141,14.835412377259297,12.133434428914242,10.469067251289793,7.4735380910384,5.951997728964534,4.484364994257615,3.849068645255241,3.185040600654594,2.644821911727305,0.07874007874011899,0.8425342722999474,2.393115333618503,2.4826557464851136,2.213430086991681,2.134637617957671,1.9980051440262998,1.9621589028414597,1.7523132000360004,1.766795050366623,1.781391682474376,3.703993942879617,3.6318721769908153,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BUD,2023-11-06,58.88,62.5,0.06148097826086952,-23.31460674157297,-11.640953716690003,-6.335877862595403,-5.984138428262423,-5.984138428262423,-5.435494433529782,-5.435494433529782,-5.435494433529782,-5.435494433529782,-5.435494433529782,-9.182389937106876,-52.96416938110748,-53.20803629293582,93.281132817493,88.04998530429458,76.85421253484789,69.6300042182559,65.01479327886604,61.862960398340626,59.58324382739595,54.73229938228082,52.815851334363195,51.63615445539569,51.24390706682293,50.90258629879049,50.84892181998086,80.93331712254968,57.59882869648892,27.68976367700693,17.773167344710245,13.789886997647324,11.466830041348498,10.024595032924156,7.36123632306534,5.912760126568826,4.470772852084837,3.840781067506492,3.1802877385568222,2.6424114357052595,0.36083237105337285,0.9276507963668237,2.331276259905719,2.267826174016773,2.0104299913202643,1.9402638995765502,1.7993252130235438,1.907540363924182,1.7141406843413656,1.759185277337211,1.777446340415247,3.7713568021189525,3.632109633532557,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BUD,2023-11-01,56.8,63.39,0.11602112676056345,-5.572755417956652,-4.250295159386062,-3.8961038961038916,-3.8961038961038916,-3.3834586466165355,-3.3834586466165355,-9.666080843585304,-22.35649546827799,-31.92052980132453,-31.92052980132453,-47.0648815653965,-66.68826960466625,-66.68826960466625,87.85429491243785,81.23327673971663,69.49292780913281,62.89064080725915,59.02118813787271,56.5351607029743,54.8206136686194,51.491746687619205,50.425541930311866,49.96187923819819,49.86177962306677,49.81704164166592,50.06157012168297,59.22877799719138,35.736557042186746,16.852772007512005,12.313695587933138,10.755920350255645,9.616308070271318,8.838274103879472,7.111340002477913,5.845614803024359,4.456054419930223,3.8341208005440084,3.177615097656492,2.641530803535996,1.3225984525420638,1.7189229185743016,1.5008264389995256,1.2459024395549143,1.1745674735833609,1.1185672264106428,1.2781877796317718,1.744401800044932,1.707802197837553,1.7030437340244668,1.8732095432854152,3.9659801960619467,3.6339764225982543,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False
BUD,2023-10-31,56.87,62.93,0.10655881835765786,-2.5974025974025845,-2.5974025974025845,-2.3809523809523703,-2.3809523809523703,-2.06766917293232,-2.06766917293232,-12.436974789915995,-21.299093655589164,-30.993377483443734,-30.993377483443734,-47.53272910372611,-66.23460790667531,-66.23460790667531,90.02550218102961,82.57943219382007,70.17093796722709,63.330639337554985,59.344790326284844,56.790290423444084,55.03060828224349,51.61312838040803,50.5101509635777,50.01942727840588,49.908894789891754,49.853824265579725,50.08840467118415,47.79773694390443,27.79288678010702,14.128487753707645,11.232453971068228,10.28670719058652,9.401278537570912,8.749365964953212,7.158480041703764,5.892904630689189,4.485596856190259,3.8556721080228624,3.191695851591058,2.6493676866774534,1.6940156105800461,1.4081335163967927,1.1703008160297925,0.9990359797769485,0.9506096727889944,0.926741733170574,1.325193025772304,1.7339491226676746,1.7389462267683373,1.7030591416624379,1.9329398953120316,4.010016711519626,3.636618819384292,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,False
BUD,2023-10-30,54.03,62.61,0.1588006662965019,-12.286689419795174,-12.286689419795174,-12.56544502617809,-30.12259927193591,-23.298488624227176,-43.1654676258992,-61.33768352365411,-64.19939577039271,-68.60927152317876,-68.60927152317876,-78.66786678667864,-84.64031108230718,-84.64031108230718,69.91577822300819,62.304335535631004,53.66338466619035,50.114831049434265,48.45136129859033,47.57594301789982,47.08041396192456,46.60898024581966,46.950399941436245,47.59493660167125,47.929318538092446,48.31589236742537,48.98449012906926,30.651175363974023,17.863298952507357,11.101505249480576,10.073980810141538,9.792798601461126,9.177289441007991,8.657392028132943,7.20658212254647,5.940879818175248,4.515437700897366,3.8774045189259083,3.2058711072298824,2.65724395114123,0.4904646323187398,0.4015470084560471,0.4900499974492409,0.5519959742204243,0.5761301936194633,0.659598180713076,1.3729884680263458,1.7226642621242245,1.7640443154690801,1.7029482522965864,1.9985151710429643,4.033743723474097,3.6387849620443373,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
BUD,2023-10-25,53.74,63.11,0.17435802009676213,-23.75690607734802,-23.75690607734802,-39.999999999999815,-32.683905628013676,-50.1199040767385,-63.44463971880485,-66.06851549755295,-68.58006042296067,-72.45033112582776,-72.45033112582776,-84.73954512105647,-86.51976668826957,-86.51976668826957,71.78278992425471,59.366563877699534,50.05891154899372,47.24377422128137,46.16797372032708,45.713233735369464,45.52477525002625,45.72867330833382,46.37661473662905,47.241196683106644,47.65397633578675,48.11328665485048,48.85094388050314,38.92847463817401,20.427165979766404,13.276514525874447,11.690505223099708,10.654712252185558,9.671508205416517,8.964055664373364,7.289665566295098,5.9821216076270165,4.541881881398602,3.9004671207376886,3.225872067652945,2.678128787779161,0.44392191505564077,0.44597757791171605,0.5207120125366805,0.6118256832355655,0.689768076965004,1.1013129618777757,1.6327333591931723,1.6688147770199064,1.798784487550707,1.6569599240778274,2.3169938318145493,4.02310760151072,3.595637744545465,True,False,False,False,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
BUD,2023-10-24,53.42,63.11,0.18139273680269558,-0.9345794392521503,-26.896551724137918,-55.6466797773964,-43.04022783908848,-57.793764988009485,-70.42016806722683,-71.2887438825448,-73.41389728096671,-76.68874172185424,-76.68874172185424,-87.9945429740791,-88.5936487362281,-88.5936487362281,62.604534687454446,52.81373762484408,46.71324419033602,45.014053134607224,44.49632676706798,44.38022776503982,44.42061909482479,45.091059847366445,45.940190485899855,46.9524351614745,47.42079816600783,47.93407469868086,48.72361905283939,33.48791128356559,19.203587221418907,14.07297087787381,12.51609387799948,11.090325308639894,9.922422242797252,9.122422008962863,7.3355503324247,6.004967560642103,4.555156071996849,3.911250913611103,3.234510159405742,2.6861960180750133,0.377447568102733,0.3466641025546201,0.6124246892475836,0.6119331844427315,0.6869177534465094,1.305118170894881,1.653884182429014,1.6563695722875373,1.7925882325365665,1.6454886812129699,2.4557155044688885,4.01611560535246,3.581722197142041,True,False,False,True,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BUD,2023-10-23,52.68,62.7,0.1902050113895217,-77.93103448275865,-83.24607329842934,-86.61031842336496,-66.989222952199,-75.53956834532367,-83.36052202283845,-83.36052202283845,-84.5921450151057,-86.49006622516553,-86.49006622516553,-93.04229195088675,-93.38950097213218,-93.38950097213218,24.989997676948718,32.75017905449407,38.079863035504985,39.49469191914768,40.432667027459836,41.1734842690706,41.78282380775644,43.5891015562889,44.91832296941265,46.27929888905426,46.87814179389377,47.517684443430944,48.42823141179869,47.25861679671069,21.61871259814541,14.607226408910398,12.712820790279974,11.161423472452359,9.93904952411135,9.117908758016513,7.323853887378135,5.999303408143289,4.555070203446678,3.9130017826455097,3.2375731486363453,2.691303661790627,0.31201851796897545,0.5181659965686682,0.6115259602012,0.6182282929648416,0.709594250258554,1.4701807235846887,1.67012161899133,1.643173867854525,1.780090825474581,1.6398049243736281,2.521346629559072,4.004055466926278,3.566402583837109,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BUD,2023-10-18,53.26,61.33,0.1515208411565903,-90.11406844106496,-91.50326797385647,-48.21838894462599,-61.63069544364507,-71.8804920913884,-73.89885807504078,-73.89885807504078,-75.83081570996978,-78.80794701986754,-78.80794701986754,-89.08594815825374,-89.63058976020739,-89.63058976020739,30.68268114655106,39.7173533282156,41.912776534872265,42.091822377295706,42.42969489597038,42.80636567912238,43.16613557946638,44.44945987918912,45.54340342635184,46.719558948329485,47.243585473171244,47.806949022520236,48.64277065810645,27.693699451640708,18.181640758193723,15.024238194663127,12.844635489811749,11.123967862589407,9.830185280106127,8.996154702400053,7.254218384602617,5.966904004469324,4.5485176099043985,3.9143013277534155,3.2445295003199495,2.70561283681269,0.4495182606598616,0.36350515814772216,0.6419696254496781,0.7224907534971562,1.150764528476612,1.6691914210179728,1.6569307636577804,1.5444209270791434,1.698404533432384,1.5767157353181962,2.72103803594429,3.936935640825235,3.4985364079140306,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
